1-5_nouns,2-2_nouns,2-3_nouns,2-4_nouns,학교밖_nouns,5-1_nouns,5-2_nouns,6-1_nouns
['정보'],[],[],[],[],"['생각', '것']","['인공', '지능', '사람', '더']",[]
['정보'],[],[],[],[],"['생각', '수']","['인간', '마음', '로봇', '마음']",[]
"['스크래치', '비버', '린지', '앤', '트리']",[],[],[],[],"['행동', '수']","['인간', '마음', '인공', '지능']","['핸대폰', '컴퓨터']"
"['스크레치', '엔트리']","['초등학교', '학년']",['개월'],[],[],[],"['지능', '사람']",['컴퓨터']
['정보'],[],[],[],[],[],[],"['가지', '시리', '빅스', '비']"
['정보'],[],[],[],[],[],[],['청소기']
"['과학', '수학', '국어', '컴퓨터', '영어', '보건', '사회']",[],[],[],[],['생각'],['감정'],"['지니', '빅스', '비', '시리']"
"['정보', '창체']",[],[],[],[],[],[],"['로봇', '빅스', '비', '시리']"
['정보'],[],[],[],[],"['사람', '행동', '스스로']",['감정'],[]
"['과학', '수학', '국어', '체육', '영어', '한문', '음악', '국악', '정보', '사회', '진로', '진자']",[],[],[],[],[],[],[]
"['삼성', '주니어', '아카데미']",[],[],[],[],[],[],[]
['정보'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
['정보'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
"['삼성', '주니어', '아카데미', '정보', '소프트웨어', '코딩']",[],[],[],[],[],"['인공', '지능', '감정']","['냉장고', '세탁기', '로봇청소기', '등등']"
[],[],[],[],[],"['사람', '행동']","['사람', '인공', '지능', '더']",['전자레인지']
['정보'],[],[],[],[],[],[],[]
[],[],[],[],[],['문제'],['사람'],['엔트리']
[],[],[],[],[],[],[],['컴퓨터']
[],[],[],[],[],[],[],['로봇청소기']
['정보'],[],[],[],[],[],[],[]
[],"['초등학교', '학년']",[],[],[],[],['모든'],['휴대폰']
"['수학', '영어', '국어', '미술', '음악', '기', '정보', '진로']",[],[],[],[],[],[],['로봇청소기']
[],[],[],[],[],[],[],"['냉장고', '세탁기', '등등']"
"['국어', '수학', '기술', '가정', '체육', '미술', '과학', '사회', '영어', '진로']",[],[],[],[],"['무언가', '학습']","['인공', '지능', '상상', '수', '인간', '인공', '지능', '연산', '더', '인공', '지능', '감정']","['지니', '로봇청소기']"
[],[],[],[],[],['지식'],"['인간', '인공', '지능', '생명']",[]
"['사회', '영어', '기술', '국어', '과학', '수학', '가정', '음악', '미술', '체육']",[],[],[],[],[],[],[]
"['엔트리', '코딩', '수업']",[],[],[],[],[],[],"['웨이터', '하나', '웨이터', '일', '인공', '지능', '도', '것']"
"['국어', '수학', '과학', '도덕', '영어', '사회', '국어', '활동', '코딩']","['초등학교', '학년']",[],"['시간', '날때']",[],[],[],[]
['파이썬'],"['초등학교', '학년']",[],[],[],[],[],"['빅스', '비']"
[],[],[],[],[],[],[],['스마트폰']
"['엔트리', '컴퓨터', '코딩']",[],[],[],[],"['일', '제어', '수']","['인공', '지능', '계산', '일']","['시리', '등', '핸드폰', '탑재', '인공', '지능']"
"['기억', '안남']",[],[],[],[],[],[],[]
['엔트리'],"['초등학교', '학년', '살']",['개월'],[],[],['인간'],"['인공', '지능', '감정']","['빅스', '비']"
"['기억', '남']",[],[],[],[],"['열심', '일']",['감정'],[]
['기억'],[],[],[],[],"['공통점', '것']","['차이점', '로봇', '감정', '것']",[]
['기술'],[],[],[],[],"['수', '것']",['상상력'],[]
[],[],[],[],[],"['문제', '해결', '수']","['인공', '지능', '수', '감정', '한정']","['핸드폰', '시리']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],"['로봇', '청소기']"
"['수학', '영어', '과학', '창체', '체육', '국어', '미술', '도덕', '기술', '가정', '등등']",[],[],[],[],[],[],[]
"['코딩', '시간']",[],[],[],[],[],[],[]
[],[],[],[],[],['일'],"['인간', '감정', '인간', '상상력']",['핸드폰']
"['스크래치', '엔트리']","['초등학교', '학년']",[],[],[],['대답'],['대답'],[]
[],[],[],[],[],['생각'],['생명'],"['자율', '주행', '자동차']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],"['스스로', '행동', '수']","['다만', '그', '대응', '명령', '수']","['로봇청소기', '테슬라', '등등']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],['스피커']
[],[],[],[],[],"['생각', '것']",['감정'],['스피커']
[],[],[],[],[],[],[],[]
"['스크래치', '엔트리']",[],[],[],[],[],[],[]
['기술'],[],[],[],[],[],"['배경', '지식', '차이점']",['가지']
['기술'],[],[],[],[],"['손', '발', '일', '수']","['사람', '감정', '인공', '지능', '감정']","['인공', '지능', '로봇']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
"['인공', '지능']",[],[],[],[],"['기억', '수']","['제대로', '기억', '인공', '지능']","['키', '오스']"
['기술'],"['중학교', '학년']",[],[],[],[],[],"['인공', '지능', '스피커']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],['엄마'],[]
"['기억', '안남']",[],[],[],[],[],[],['시리']
"['국어', '수학', '사회', '과학', '영어', '정보', '역사', '도덕', '음악', '체육']",[],[],[],[],[],[],['엄마']
['기술'],[],[],[],[],[],['차이'],"['기', '지니']"
['정보'],[],[],[],[],"['알', '여']",[],"['가지', '시리', '빅스', '비', '등']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
